"","t.fdr","n","p","spr","s","k","rho","amplitude","metric","method","x.1","x.2","mean","ntrials"
"1964",0.04,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.016134562,20.000000000,0.016134562,20
"1965",0.05,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.030853201,20.000000000,0.030853201,20
"1966",0.06,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.042094853,20.000000000,0.042094853,20
"1967",0.07,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.053198554,20.000000000,0.053198554,20
"1968",0.08,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.067919421,20.000000000,0.067919421,20
"1969",0.09,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.080378701,20.000000000,0.080378701,20
"1970",0.10,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.091174155,20.000000000,0.091174155,20
"1971",0.11,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.100179858,20.000000000,0.100179858,20
"1972",0.12,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.110110226,20.000000000,0.110110226,20
"1973",0.13,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.117617066,20.000000000,0.117617066,20
"1974",0.14,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.127802311,20.000000000,0.127802311,20
"1975",0.15,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.139648163,20.000000000,0.139648163,20
"1976",0.16,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.147916366,20.000000000,0.147916366,20
"1977",0.17,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.158520924,20.000000000,0.158520924,20
"1978",0.18,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.171053206,20.000000000,0.171053206,20
"1979",0.19,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.179523760,20.000000000,0.179523760,20
"1980",0.20,5000,1250,0.25,0.1,125,0,5,"fdr","kadapt", 0.187763357,20.000000000,0.187763357,20
"2241",0.01,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.000000000,30.000000000,0.000000000,30
"2242",0.02,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.746666667,30.000000000,0.746666667,30
"2243",0.03,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.779111111,30.000000000,0.779111111,30
"2244",0.04,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.804888889,30.000000000,0.804888889,30
"2245",0.05,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.862666667,30.000000000,0.862666667,30
"2246",0.06,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.900888889,30.000000000,0.900888889,30
"2247",0.07,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.932000000,30.000000000,0.932000000,30
"2248",0.08,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.944000000,30.000000000,0.944000000,30
"2249",0.09,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.952000000,30.000000000,0.952000000,30
"2250",0.10,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.959111111,30.000000000,0.959111111,30
"2251",0.11,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.962222222,30.000000000,0.962222222,30
"2252",0.12,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.965777778,30.000000000,0.965777778,30
"2253",0.13,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.972444444,30.000000000,0.972444444,30
"2254",0.14,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.977777778,30.000000000,0.977777778,30
"2255",0.15,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.978666667,30.000000000,0.978666667,30
"2256",0.16,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.980888889,30.000000000,0.980888889,30
"2257",0.17,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.982666667,30.000000000,0.982666667,30
"2258",0.18,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.984444444,30.000000000,0.984444444,30
"2259",0.19,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.985777778,30.000000000,0.985777778,30
"2260",0.20,5000, 750,0.15,0.1, 75,0,5,"power","kadapt", 0.987555556,30.000000000,0.987555556,30
"2261",0.01,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.000000000,20.000000000,0.000000000,20
"2262",0.02,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.743333333,20.000000000,0.743333333,20
"2263",0.03,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.758888889,20.000000000,0.758888889,20
"2264",0.04,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.777777778,20.000000000,0.777777778,20
"2265",0.05,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.835555556,20.000000000,0.835555556,20
"2266",0.06,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.867777778,20.000000000,0.867777778,20
"2267",0.07,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.907777778,20.000000000,0.907777778,20
"2268",0.08,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.923333333,20.000000000,0.923333333,20
"2269",0.09,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.934444444,20.000000000,0.934444444,20
"2270",0.10,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.945000000,20.000000000,0.945000000,20
"2271",0.11,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.953333333,20.000000000,0.953333333,20
"2272",0.12,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.960555556,20.000000000,0.960555556,20
"2273",0.13,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.966111111,20.000000000,0.966111111,20
"2274",0.14,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.970000000,20.000000000,0.970000000,20
"2275",0.15,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.971111111,20.000000000,0.971111111,20
"2276",0.16,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.974444444,20.000000000,0.974444444,20
"2277",0.17,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.975000000,20.000000000,0.975000000,20
"2278",0.18,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.977777778,20.000000000,0.977777778,20
"2279",0.19,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.978888889,20.000000000,0.978888889,20
"2280",0.20,6000, 900,0.15,0.1, 90,0,5,"power","kadapt", 0.980555556,20.000000000,0.980555556,20
"2281",0.01,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.000000000,20.000000000,0.000000000,20
"2282",0.02,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.697200000,20.000000000,0.697200000,20
"2283",0.03,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.779200000,20.000000000,0.779200000,20
"2284",0.04,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.819200000,20.000000000,0.819200000,20
"2285",0.05,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.866400000,20.000000000,0.866400000,20
"2286",0.06,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.884400000,20.000000000,0.884400000,20
"2287",0.07,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.903600000,20.000000000,0.903600000,20
"2288",0.08,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.925200000,20.000000000,0.925200000,20
"2289",0.09,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.932400000,20.000000000,0.932400000,20
"2290",0.10,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.938400000,20.000000000,0.938400000,20
"2291",0.11,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.952800000,20.000000000,0.952800000,20
"2292",0.12,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.956000000,20.000000000,0.956000000,20
"2293",0.13,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.961600000,20.000000000,0.961600000,20
"2294",0.14,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.966000000,20.000000000,0.966000000,20
"2295",0.15,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.967600000,20.000000000,0.967600000,20
"2296",0.16,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.969600000,20.000000000,0.969600000,20
"2297",0.17,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.972400000,20.000000000,0.972400000,20
"2298",0.18,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.974800000,20.000000000,0.974800000,20
"2299",0.19,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.976800000,20.000000000,0.976800000,20
"2300",0.20,5000,1250,0.25,0.1,125,0,5,"power","kadapt", 0.978400000,20.000000000,0.978400000,20
"2561",0.01,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.000000000,30.000000000,0.000000000,30
"2562",0.02,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.010011738,30.000000000,0.010011738,30
"2563",0.03,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.012973029,30.000000000,0.012973029,30
"2564",0.04,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.021522396,30.000000000,0.021522396,30
"2565",0.05,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.040311971,30.000000000,0.040311971,30
"2566",0.06,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.050509234,30.000000000,0.050509234,30
"2567",0.07,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.061679132,30.000000000,0.061679132,30
"2568",0.08,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.076430064,30.000000000,0.076430064,30
"2569",0.09,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.087421899,30.000000000,0.087421899,30
"2570",0.10,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.100043502,30.000000000,0.100043502,30
"2571",0.11,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.113079635,30.000000000,0.113079635,30
"2572",0.12,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.123529296,30.000000000,0.123529296,30
"2573",0.13,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.132746494,30.000000000,0.132746494,30
"2574",0.14,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.144306861,30.000000000,0.144306861,30
"2575",0.15,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.152663771,30.000000000,0.152663771,30
"2576",0.16,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.160992734,30.000000000,0.160992734,30
"2577",0.17,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.168631074,30.000000000,0.168631074,30
"2578",0.18,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.177341537,30.000000000,0.177341537,30
"2579",0.19,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.189144598,30.000000000,0.189144598,30
"2580",0.20,5000, 750,0.15,0.1, 75,0,5,"fdr","sounak", 0.198593876,30.000000000,0.198593876,30
"2581",0.01,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.000000000,20.000000000,0.000000000,20
"2582",0.02,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.003810068,20.000000000,0.003810068,20
"2583",0.03,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.016684830,20.000000000,0.016684830,20
"2584",0.04,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.024812104,20.000000000,0.024812104,20
"2585",0.05,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.036340731,20.000000000,0.036340731,20
"2586",0.06,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.044199129,20.000000000,0.044199129,20
"2587",0.07,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.054647484,20.000000000,0.054647484,20
"2588",0.08,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.067650733,20.000000000,0.067650733,20
"2589",0.09,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.072701097,20.000000000,0.072701097,20
"2590",0.10,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.078674145,20.000000000,0.078674145,20
"2591",0.11,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.090885588,20.000000000,0.090885588,20
"2592",0.12,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.095150842,20.000000000,0.095150842,20
"2593",0.13,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.100323854,20.000000000,0.100323854,20
"2594",0.14,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.114497167,20.000000000,0.114497167,20
"2595",0.15,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.123487812,20.000000000,0.123487812,20
"2596",0.16,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.141013044,20.000000000,0.141013044,20
"2597",0.17,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.148709863,20.000000000,0.148709863,20
"2598",0.18,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.156350381,20.000000000,0.156350381,20
"2599",0.19,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.166612414,20.000000000,0.166612414,20
"2600",0.20,6000, 900,0.15,0.1, 90,0,5,"fdr","sounak", 0.185428914,20.000000000,0.185428914,20
"2601",0.01,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.000000000,20.000000000,0.000000000,20
"2602",0.02,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.014737486,20.000000000,0.014737486,20
"2603",0.03,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.018384030,20.000000000,0.018384030,20
"2604",0.04,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.033170803,20.000000000,0.033170803,20
"2605",0.05,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.042853321,20.000000000,0.042853321,20
"2606",0.06,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.050125271,20.000000000,0.050125271,20
"2607",0.07,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.059030554,20.000000000,0.059030554,20
"2608",0.08,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.070927921,20.000000000,0.070927921,20
"2609",0.09,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.085731458,20.000000000,0.085731458,20
"2610",0.10,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.097813848,20.000000000,0.097813848,20
"2611",0.11,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.102194336,20.000000000,0.102194336,20
"2612",0.12,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.110901325,20.000000000,0.110901325,20
"2613",0.13,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.122304793,20.000000000,0.122304793,20
"2614",0.14,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.132643739,20.000000000,0.132643739,20
"2615",0.15,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.142258721,20.000000000,0.142258721,20
"2616",0.16,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.151669019,20.000000000,0.151669019,20
"2617",0.17,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.164694345,20.000000000,0.164694345,20
"2618",0.18,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.173235547,20.000000000,0.173235547,20
"2619",0.19,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.185180036,20.000000000,0.185180036,20
"2620",0.20,5000,1250,0.25,0.1,125,0,5,"fdr","sounak", 0.195804861,20.000000000,0.195804861,20
"2881",0.01,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.000000000,30.000000000,0.000000000,30
"2882",0.02,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.486666667,30.000000000,0.486666667,30
"2883",0.03,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.552888889,30.000000000,0.552888889,30
"2884",0.04,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.738666667,30.000000000,0.738666667,30
"2885",0.05,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.808444444,30.000000000,0.808444444,30
"2886",0.06,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.829777778,30.000000000,0.829777778,30
"2887",0.07,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.845333333,30.000000000,0.845333333,30
"2888",0.08,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.862222222,30.000000000,0.862222222,30
"2889",0.09,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.872000000,30.000000000,0.872000000,30
"2890",0.10,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.887111111,30.000000000,0.887111111,30
"2891",0.11,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.894222222,30.000000000,0.894222222,30
"2892",0.12,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.899111111,30.000000000,0.899111111,30
"2893",0.13,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.904444444,30.000000000,0.904444444,30
"2894",0.14,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.907555556,30.000000000,0.907555556,30
"2895",0.15,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.909777778,30.000000000,0.909777778,30
"2896",0.16,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.914666667,30.000000000,0.914666667,30
"2897",0.17,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.916444444,30.000000000,0.916444444,30
"2898",0.18,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.917777778,30.000000000,0.917777778,30
"2899",0.19,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.919555556,30.000000000,0.919555556,30
"2900",0.20,5000, 750,0.15,0.1, 75,0,5,"power","sounak", 0.920444444,30.000000000,0.920444444,30
"2901",0.01,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.000000000,20.000000000,0.000000000,20
"2902",0.02,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.462222222,20.000000000,0.462222222,20
"2903",0.03,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.647222222,20.000000000,0.647222222,20
"2904",0.04,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.754444444,20.000000000,0.754444444,20
"2905",0.05,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.815555556,20.000000000,0.815555556,20
"2906",0.06,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.836666667,20.000000000,0.836666667,20
"2907",0.07,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.847222222,20.000000000,0.847222222,20
"2908",0.08,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.863333333,20.000000000,0.863333333,20
"2909",0.09,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.866666667,20.000000000,0.866666667,20
"2910",0.10,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.874444444,20.000000000,0.874444444,20
"2911",0.11,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.883888889,20.000000000,0.883888889,20
"2912",0.12,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.890000000,20.000000000,0.890000000,20
"2913",0.13,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.892777778,20.000000000,0.892777778,20
"2914",0.14,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.895555556,20.000000000,0.895555556,20
"2915",0.15,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.898888889,20.000000000,0.898888889,20
"2916",0.16,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.903888889,20.000000000,0.903888889,20
"2917",0.17,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.907777778,20.000000000,0.907777778,20
"2918",0.18,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.910000000,20.000000000,0.910000000,20
"2919",0.19,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.913888889,20.000000000,0.913888889,20
"2920",0.20,6000, 900,0.15,0.1, 90,0,5,"power","sounak", 0.916666667,20.000000000,0.916666667,20
"2921",0.01,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.000000000,20.000000000,0.000000000,20
"2922",0.02,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.431600000,20.000000000,0.431600000,20
"2923",0.03,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.542000000,20.000000000,0.542000000,20
"2924",0.04,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.606000000,20.000000000,0.606000000,20
"2925",0.05,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.644400000,20.000000000,0.644400000,20
"2926",0.06,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.691200000,20.000000000,0.691200000,20
"2927",0.07,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.713200000,20.000000000,0.713200000,20
"2928",0.08,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.736800000,20.000000000,0.736800000,20
"2929",0.09,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.758400000,20.000000000,0.758400000,20
"2930",0.10,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.771600000,20.000000000,0.771600000,20
"2931",0.11,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.778800000,20.000000000,0.778800000,20
"2932",0.12,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.785600000,20.000000000,0.785600000,20
"2933",0.13,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.792400000,20.000000000,0.792400000,20
"2934",0.14,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.800000000,20.000000000,0.800000000,20
"2935",0.15,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.810400000,20.000000000,0.810400000,20
"2936",0.16,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.816400000,20.000000000,0.816400000,20
"2937",0.17,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.824000000,20.000000000,0.824000000,20
"2938",0.18,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.828400000,20.000000000,0.828400000,20
"2939",0.19,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.837200000,20.000000000,0.837200000,20
"2940",0.20,5000,1250,0.25,0.1,125,0,5,"power","sounak", 0.844000000,20.000000000,0.844000000,20
