"Target FDR","Power","FDR","Method","n","p","s","amplitude","rho","i","ntrials"
0.001,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.002,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.003,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.004,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.005,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.006,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.007,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.008,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.009,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.01,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.02,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.03,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.04,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.05,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.06,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.07,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.08,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.09,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.1,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.11,0,0,"Knockoff",1000,100,0.1,5,0,1,50
0.12,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.13,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.14,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.15,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.16,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.17,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.18,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.19,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.2,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.21,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.22,0.024,0.625,"Knockoff",1000,100,0.1,5,0,1,50
0.23,0.032,0.555555555555556,"Knockoff",1000,100,0.1,5,0,1,50
